repo_name,repo_url,total_files,total_python_files,internal_dependencies,external_dependencies,fundamental_ml_dependencies,cross_module_calls,coupling_score,cohesion_score,modularity_score,complexity_score,dependency_depth,max_inheritance_depth,registry_pattern_usage,has_config_system,extractability_score,avg_file_complexity,max_file_complexity,total_classes,total_functions,analysis_status,error_message
facebookresearch/vissl,https://github.com/facebookresearch/vissl,2793,334,137,83,44,8653,0.255,0.495,0.459,0.744,1,2,172,True,38.28,17.39,174,390,2298,success,
apple/corenet,https://github.com/apple/corenet,977,498,251,54,31,7819,0.359,0.493,0.412,0.721,1,2,283,True,27.36,12.27,224,405,2187,success,
discovery-unicamp/Minerva,https://github.com/discovery-unicamp/Minerva,305,167,72,51,25,2774,0.313,0.204,0.477,0.724,1,2,3,True,53.25,12.86,124,234,1188,success,
open-mmlab/mmsegmentation,https://github.com/open-mmlab/mmsegmentation,2241,1403,59,284,27,9902,0.256,0.455,0.527,0.598,1,1,258,True,31.62,3.43,256,425,1806,success,
open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,2857,1957,135,722,51,26081,0.284,0.744,0.493,0.678,1,2,596,True,30.41,7.21,329,1055,4747,success,
deepinv/deepinv,https://github.com/deepinv/deepinv,451,270,87,203,23,9320,0.351,0.665,0.472,0.755,1,2,2,False,55.88,20.79,260,456,2121,success,
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,2045,1021,288,480,74,32838,0.274,0.68,0.44,0.759,1,2,839,True,26.98,22.38,349,1472,8121,success,
microsoft/unilm,https://github.com/microsoft/unilm,7350,3934,1,1513,161,127441,0.333,1.0,0.444,0.765,1,4,2727,True,26.73,24.95,356,5604,32011,success,
mims-harvard/TFC-pretraining,https://github.com/mims-harvard/TFC-pretraining,197,65,0,39,24,1600,0.312,0.354,0.448,0.723,1,1,0,True,40.84,12.52,107,88,304,success,
microsoft/Semi-supervised-learning,https://github.com/microsoft/Semi-supervised-learning,1522,165,23,104,30,3125,0.201,0.556,0.558,0.716,1,2,36,True,51.92,11.47,70,150,701,success,
