repo_name,repo_url,total_files,total_python_files,internal_dependencies,external_dependencies,fundamental_ml_dependencies,cross_module_calls,coupling_score,cohesion_score,modularity_score,complexity_score,dependency_depth,max_inheritance_depth,registry_pattern_usage,has_config_system,extractability_score,avg_file_complexity,max_file_complexity,total_classes,total_functions,analysis_status,error_message
twitter-research/tgn,https://github.com/twitter-research/tgn,72,15,10,1,4,452,0.308,0.382,0.411,0.705,1,1,0,False,41.01,9.86,25,27,77,success,
microsoft/esvit,https://github.com/microsoft/esvit,331,43,5,40,20,2197,0.198,0.424,0.475,0.78,1,1,10,True,38.05,33.93,199,93,436,success,
PaddlePaddle/PASSL,https://github.com/PaddlePaddle/PASSL,744,272,32,237,6,8170,0.313,0.57,0.513,0.757,1,2,153,True,37.46,21.4,148,523,2349,success,
thuml/Transfer-Learning-Library,https://github.com/thuml/Transfer-Learning-Library,590,287,89,165,31,11538,0.302,1.0,0.42,0.72,1,2,17,True,52.64,12.02,64,303,1177,success,
google-research/scenic,https://github.com/google-research/scenic,1322,937,146,68,40,21619,0.428,0.529,0.313,0.751,1,2,203,True,18.86,19.52,237,857,4917,success,
lightly-ai/lightly,https://github.com/lightly-ai/lightly,1073,749,485,71,33,13917,0.269,0.45,0.579,0.716,1,13,26,True,55.98,11.37,297,1060,4345,success,
pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,1772,1329,195,679,67,33992,0.477,0.782,0.435,0.73,1,4,85,True,35.51,13.84,372,1178,7360,success,
alibaba/EasyCV,https://github.com/alibaba/EasyCV,1688,1175,224,583,57,20626,0.215,0.561,0.494,0.72,1,2,565,True,29.72,12.07,240,1120,4826,success,
s3prl/s3prl,https://github.com/s3prl/s3prl,1221,709,156,307,41,16532,0.302,0.556,0.49,0.739,1,2,91,True,40.99,15.99,434,769,3967,success,
microsoft/UniSpeech,https://github.com/microsoft/UniSpeech,557,194,0,217,27,7637,0.237,0.519,0.436,0.781,1,2,144,True,35.8,34.38,308,334,2198,success,
imbue-ai/self_supervised,https://github.com/imbue-ai/self_supervised,59,9,0,14,6,325,0.143,0.258,0.439,0.758,1,1,0,False,34.26,21.89,69,23,91,success,
google-research/pegasus,https://github.com/google-research/pegasus,253,134,31,16,17,2068,0.242,0.301,0.5,0.706,1,2,27,True,52.91,10.0,70,136,584,success,
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,1302,645,28,387,89,17329,0.318,0.423,0.369,0.763,1,6,77,True,32.63,23.88,239,1483,8064,success,
facebookresearch/esm,https://github.com/facebookresearch/esm,558,79,16,75,16,2125,0.226,0.351,0.516,0.736,1,2,14,True,46.57,15.32,92,84,516,success,
brightmart/text_classification,https://github.com/brightmart/text_classification,195,95,2,46,3,3509,0.51,0.552,0.358,0.755,1,1,0,True,42.14,20.89,142,45,648,success,
google/trax,https://github.com/google/trax,477,198,60,19,24,7333,0.335,0.414,0.39,0.789,1,2,6,True,51.88,41.13,571,315,3870,success,
google-deepmind/sonnet,https://github.com/google-deepmind/sonnet,402,140,47,12,5,2870,0.523,0.242,0.362,0.737,1,2,43,False,43.19,15.58,129,323,1315,success,
PaddlePaddle/PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech,4636,1082,365,364,31,25452,0.23,0.676,0.505,0.737,1,6,86,True,41.9,15.51,314,1056,5844,success,
volcengine/verl,https://github.com/volcengine/verl,1337,558,174,325,64,16578,0.187,0.567,0.453,0.756,1,2,224,True,28.5,21.28,243,531,3413,success,
dmlc/dgl,https://github.com/dmlc/dgl,2677,1215,0,662,80,44412,0.35,0.826,0.429,0.752,1,2,129,True,37.63,19.87,406,1386,9545,success,
HiLab-git/SSL4MIS,https://github.com/HiLab-git/SSL4MIS,144,66,0,57,27,3620,0.327,0.48,0.334,0.768,1,2,21,True,32.08,26.32,156,123,577,success,
Lightning-Universe/lightning-transformers,https://github.com/Lightning-Universe/lightning-transformers,263,95,60,19,12,688,0.227,0.302,0.525,0.633,1,1,0,True,61.48,4.62,46,42,286,success,
facebookresearch/detr,https://github.com/facebookresearch/detr,97,28,10,44,15,1069,0.181,0.398,0.529,0.756,1,1,11,True,37.26,21.14,84,49,232,success,
NVIDIA-Merlin/Transformers4Rec,https://github.com/NVIDIA-Merlin/Transformers4Rec,350,119,25,85,20,2241,0.163,0.33,0.529,0.74,1,3,45,True,46.89,16.33,205,163,729,success,
NVIDIA/Megatron-LM,https://github.com/NVIDIA/Megatron-LM,2507,799,42,698,75,24500,0.297,0.528,0.44,0.772,1,4,143,True,33.17,28.33,515,988,6494,success,
adap/flower,https://github.com/adap/flower,3557,1114,0,757,62,19395,0.246,0.516,0.506,0.708,1,3,50,True,49.78,10.29,116,748,5459,success,
facebookincubator/AITemplate,https://github.com/facebookincubator/AITemplate,1502,1063,0,515,27,21885,0.206,0.577,0.545,0.732,1,1,1531,True,32.71,14.42,306,966,6754,success,
facebookresearch/DiT,https://github.com/facebookresearch/DiT,66,10,2,13,7,408,0.22,0.254,0.448,0.754,1,1,0,False,34.19,20.3,73,15,97,success,
facebookresearch/xformers,https://github.com/facebookresearch/xformers,1220,150,44,87,32,5531,0.308,0.357,0.477,0.772,1,2,53,True,37.29,28.68,287,234,1570,success,
apple/coremltools,https://github.com/apple/coremltools,4632,789,231,279,85,26264,0.172,0.428,0.531,0.791,1,8,1467,True,26.72,42.58,1635,2347,13247,success,
speedinghzl/pytorch-segmentation-toolbox,https://github.com/speedinghzl/pytorch-segmentation-toolbox,96,20,6,13,19,493,0.159,0.272,0.46,0.737,1,1,0,False,40.78,15.53,43,29,110,success,
NVIDIA/semantic-segmentation,https://github.com/NVIDIA/semantic-segmentation,115,44,15,19,28,1514,0.256,0.325,0.445,0.77,1,1,4,True,39.38,27.21,103,99,433,success,
qubvel-org/segmentation_models.pytorch,https://github.com/qubvel-org/segmentation_models.pytorch,256,131,12,79,12,2178,0.268,0.354,0.581,0.71,1,2,0,False,60.81,10.58,74,208,612,success,
CSAILVision/semantic-segmentation-pytorch,https://github.com/CSAILVision/semantic-segmentation-pytorch,125,37,6,21,15,925,0.172,0.356,0.568,0.74,1,1,3,True,42.82,16.34,90,56,223,success,
apple/ml-cvnets,https://github.com/apple/ml-cvnets,748,392,207,39,22,5930,0.355,0.498,0.416,0.717,1,2,220,True,27.98,11.57,225,317,1657,success,
tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,638,453,46,46,33,15124,0.672,0.382,0.263,0.774,1,2,1434,True,7.61,29.5,459,832,6647,success,
huggingface/transformers,https://github.com/huggingface/transformers,6329,3855,10,2629,479,173678,0.285,0.889,0.499,0.785,1,5,303,True,27.43,37.81,1015,12711,49548,success,
huggingface/datasets,https://github.com/huggingface/datasets,429,208,0,157,89,7854,0.156,0.375,0.396,0.795,1,3,20,True,46.77,47.85,861,367,3431,success,
NVIDIA-NeMo/NeMo,https://github.com/NVIDIA-NeMo/NeMo,4447,2432,1159,692,112,68076,0.286,0.589,0.477,0.763,1,5,208,True,24.5,24.04,393,3489,19820,success,
microsoft/LMOps,https://github.com/microsoft/LMOps,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0,0,error,Failed to clone repository
microsoft/torchscale,https://github.com/microsoft/torchscale,146,68,19,65,12,1803,0.216,0.372,0.566,0.748,1,2,60,True,34.13,18.54,157,87,446,success,
bytedance/neurst,https://github.com/bytedance/neurst,460,240,123,30,22,5000,0.302,0.525,0.462,0.752,1,2,184,True,40.04,19.86,162,181,1225,success,
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig,1152,654,343,159,50,13930,0.243,0.458,0.421,0.751,1,3,616,True,25.6,19.42,322,1114,5650,success,
PaddlePaddle/ERNIE,https://github.com/PaddlePaddle/ERNIE,715,248,12,328,7,9849,0.154,0.44,0.5,0.789,1,5,12,True,49.99,40.94,433,377,2290,success,
open-compass/opencompass,https://github.com/open-compass/opencompass,3624,2737,686,1281,30,19325,0.188,0.68,0.687,0.648,1,1,626,True,40.44,5.3,226,915,3544,success,
openai/evals,https://github.com/openai/evals,2450,344,148,84,20,6481,0.259,0.41,0.488,0.729,1,2,21,True,51.69,13.82,207,362,1927,success,
Farama-Foundation/Gymnasium,https://github.com/Farama-Foundation/Gymnasium,820,256,9,26,107,5329,0.404,0.442,0.421,0.745,1,3,157,False,39.9,17.47,166,246,1754,success,
google/fuzzbench,https://github.com/google/fuzzbench,841,190,15,31,7,3770,0.432,0.42,0.488,0.734,1,2,54,True,35.68,14.75,99,58,1277,success,
foundation-model-stack/foundation-model-stack,https://github.com/foundation-model-stack/foundation-model-stack,274,127,65,33,25,3457,0.342,0.45,0.445,0.756,1,7,14,True,48.94,21.31,140,240,1020,success,
vturrisi/solo-learn,https://github.com/vturrisi/solo-learn,473,148,66,52,17,2475,0.338,0.509,0.529,0.691,1,1,27,True,53.94,8.33,68,84,526,success,
wntic/segmentation-robustness-framework,https://github.com/wntic/segmentation-robustness-framework,223,93,39,51,10,1641,0.2,0.153,0.548,0.744,1,2,68,True,40.1,17.16,133,90,948,success,
ruescog/semantic_segmentation_augmentations,https://github.com/ruescog/semantic_segmentation_augmentations,149,24,0,25,3,190,0.358,0.689,0.387,0.617,1,1,0,True,32.24,4.0,9,19,41,success,
SegmentationBLWX/sssegmentation,https://github.com/SegmentationBLWX/sssegmentation,1147,833,16,222,23,9158,0.471,0.757,0.615,0.628,1,1,1,True,56.83,4.41,258,362,1224,success,
SegmentationBLWX/cssegmentation,https://github.com/SegmentationBLWX/cssegmentation,244,118,2,65,14,1396,0.208,0.667,0.659,0.659,1,1,1,True,63.75,5.93,89,76,242,success,
pytorch/serve,https://github.com/pytorch/serve,2287,416,66,225,37,7662,0.224,0.39,0.49,0.71,1,2,77,True,40.09,10.59,87,273,1952,success,
frankkramer-lab/MIScnn,https://github.com/frankkramer-lab/MIScnn,158,70,46,14,14,1237,0.261,0.297,0.602,0.745,1,1,2,False,59.98,17.67,87,48,495,success,
keras-team/keras,https://github.com/keras-team/keras,1224,920,3,36,483,25926,0.357,0.578,0.516,0.775,1,3,115,True,37.62,30.49,1098,1581,12761,success,
BVLC/caffe,https://github.com/BVLC/caffe,817,38,0,31,6,1042,0.2,0.285,0.541,0.785,1,1,0,False,43.49,37.7,743,45,334,success,
Xilinx/Vitis-AI,https://github.com/Xilinx/Vitis-AI,9378,1858,0,776,156,50269,0.203,0.613,0.569,0.775,1,3,532,True,31.36,30.06,1109,2907,20543,success,
pdollar/toolbox,https://github.com/pdollar/toolbox,755,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0,0,no_python_files,No Python files found in repository
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,1020,497,107,360,45,11395,0.238,0.488,0.463,0.734,1,2,181,True,37.13,14.72,219,583,2897,success,
facebookresearch/ClassyVision,https://github.com/facebookresearch/ClassyVision,442,217,52,127,22,4080,0.206,0.425,0.507,0.726,1,2,203,True,28.95,13.14,186,366,1452,success,
pytorch/pytorch,https://github.com/pytorch/pytorch,21242,4108,197,1466,1466,214940,0.356,0.549,0.426,0.806,1,6,2733,True,19.43,62.2,3365,17464,113491,success,
